Tor  Guimaraes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis  Roads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B  Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S H Myaeng,R R Korfhage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D W Loveland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B  Wah,G J Li,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A  Fenanzo Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T  Kyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James A Schweitzer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.  Nojiri,S.  Kawasaki,K.  Sakoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David M Harland,Bruno  Beloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John J Sviokla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed  Eusebi,James A. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy  Rauch-Hindin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herman P Hoplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacques  Calmet,Denis  Lugiez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P O Bobbie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B A Pumplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B A Pumplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaru  Tomita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Guha,R.  Ramnarayan,M.  Derstine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan P. Jacky,Ira J. Kalet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John  McCarthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y. P. Chiang,M. L. Manwaring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. A. Demurjian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. L. Steele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay  Banerjee,Won  Kim,Hyoung-Joo  Kim,Henry F. Korth,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. K. Belew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillermo  Arango,Ira  Baxter,Peter  Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B. I. Blum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel  Tueni,Jianzhong  Li,Pascal  Fares,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert  Neches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.  Collard,A.  Goforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan E. Vargas,J. R. Bourne,A. J  Brodersen,Martin  Hofmann,G. C. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
Harold  Kurstedt,Kwang  Lee,Pedro  Mendes,Steven  Berube,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert  Inder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marle  Hewett,David  Tartt,Eugene L. Duke,Robert F. Antoniewicz,Arvind K. Agarwal,,,,,,,,,,,,,,,,,,,,,,,,,,
David J. Weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara J. Vivier,Melvin K. Simmons,Sharon A. Masline,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yutaka  Miyabe,Csabe  Biegl,Kazuhiko  Kawamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rita C. Summers,Stanley A. Kurzban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Kaneko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.  Karjala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. D. Couger,S. C. McIntyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.  Sridhar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claudio  Gutierrez,Juan Carlos Hidalgo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. H. Ledwith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.  Raschid,T.  Sellis,C. C. Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.  Gasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. M. Humphrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.  Humphrey,B.  Krovetz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R. W. Bickel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karen E. Huff,Victor R. Lesser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert  Wilensky,David N. Chin,Marc  Luria,James  Martin,James  Mayfield,Dekai  Wu,,,,,,,,,,,,,,,,,,,,,,,,,
William J. Mills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigrid  Unseld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack  Beusmans,Karen  Wieckert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.  Rushinek,S.  Rushinek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A. K. Ray,M. S. S. N. Murty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M. E. Ulug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rick  Statman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.  Gasser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
